operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.395097,-99.150424",1008952,MXN,999824.68,53158.13,,80,,12611.9,,,,http://benito-juarez.properati.com.mx/o9mr_venta_departamento_benito-juarez_monte-alban_115_sandra-sanchez-moreno
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.63427,-87.064149",1180000,USD,22194030,1180000,,10,,118000,,,,http://solidaridad-quintana-roo.properati.com.mx/nd1a_venta_departamento_solidaridad_38-con-calle-flamingo_selva-co-realty-selva-co-realty
sell,apartment,|Tulum|Quintana Roo|México|,"20.200346,-87.451567",169000,USD,3178636.5,169000,,109,,1550.458716,,,,http://tulum.properati.com.mx/jmfx_venta_departamento_tulum_aldea-zama
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39912,-99.141464",,,,,927,70,,,,,,http://benito-juarez.properati.com.mx/cw1i_venta_departamento_benito-juarez
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.3925803,-99.2511366",850000,USD,15987225,850000,450,450,1888.888889,1888.888889,,,,http://miguel-hidalgo-df.properati.com.mx/bw1m_venta_departamento_miguel-hidalgo
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3809507,-99.1366219",1980000,MXN,1962088.23,104319.23,70,0,1490.274714,,,,,http://benito-juarez.properati.com.mx/qr5a_venta_departamento_benito-juarez_luha-bienes-raices
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.386821,-99.164805",3160000,MXN,3131413.62,166489.28,,90,,35111.11111,,,,http://benito-juarez.properati.com.mx/p0yy_venta_departamento_benito-juarez_eugenia_828_ubaldo-velasco
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.476817,-99.188708",462791,MXN,458604.45,24382.83,,5330,,86.82757974,,,,http://azcapotzalco.properati.com.mx/qa5g_venta_departamento_azcapotzalco_avenida-aquiles-serdan_430_enrique-segura
sell,house,|Álvaro Obregón|Distrito Federal|México|,,3200000,MXN,3171803.93,168636.73,96,220,1756.632604,14545.45455,,,,http://alvaro-obregon.properati.com.mx/llhh_venta_casa_alvaro-obregon_century-21-batiz
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.428324,-99.176337",3325929,MXN,3295841.66,175231.5,,100,,33259.29,,,,http://miguel-hidalgo-df.properati.com.mx/ode5_venta_departamento_miguel-hidalgo_descartes_44_fernando-vazquez-r
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.391819,-99.188639",2210000,MXN,2190007.57,116437.12,,90,,24555.55556,,,,http://benito-juarez.properati.com.mx/oewa_venta_departamento_benito-juarez_adolfo-lopez-mateos_1040_antonio-pedro
